колонка_0,колонка_1,колонка_2,колонка_3,колонка_4,колонка_5,колонка_6,колонка_7,колонка_8,колонка_9,колонка_10,колонка_11,колонка_12,колонка_13,колонка_14,колонка_15,колонка_16,колонка_17,колонка_18,колонка_19,колонка_20
,website,Электроника и наноэлектроника,,180000,75c824cf-b0a1-4151-8b03-ced3be323e22,0.83,0,0,2,Сибирский федеральный университет (СФУ),0.0,Заявитель найден в ЧС,M,4,Вениамин Георгиевич Шарапов,0,BACHELOR,16,3.2,2024-07-28
,website,Автоматизация и управление,,270000,c808c3f9-e770-4744-a9c7-153e606a696b,0.78,0,0,3,Московский государственный университет имени М.В. Ломоносова (МГУ),0.0,Недостаток документов,F,8,тов. Куликова Наталья Владимировна,0,BACHELOR,17,3.3,2024-07-24
2024-07-17,social_media,Информатика и вычислительная техника,2024-08-31,245000,46774c65-b983-4ffd-ad3b-a9f0fbc6cc5,0.65,1,1,4,Томский государственный университет (ТГУ),1960000.0,,M,8,Евгений Аверьянович Михайлов,1,BACHELOR,19,3.9,2024-06-14
2024-06-01,website,Прикладная математика,2024-08-25,200000,5f324ac9-99de-473d-815f-b9162957d623,0.65,1,1,2,Московский физико-технический институт (МФТИ),900000.0,,F,6,Смирнова Евдокия Вячеславовна,0,BACHELOR,19,3.6,2024-05-13
2024-08-01,website,Электроника и наноэлектроника,,290000,6edb3ca1-16c7-4a23-aa81-eff2b3e699a6,0.68,0,1,1,Московский государственный университет имени М.В. Ломоносова (МГУ),580000.0,,F,2,Кира Степановна Цветкова,0,BACHELOR,16,3.4,2024-07-10
2024-06-04,social_media,Прикладная математика,2024-07-16,350000,a9dbf8c0-1bd0-4527-a8cf-0ba5a9002c2,0.62,1,1,2,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),1050000.0,,M,4,Сорокин Спиридон Валентинович,1,BACHELOR,18,3.5,2024-05-03
2024-06-14,website,Автоматизация и управление,2024-09-04,210000,0c48e481-bb18-4885-8dd3-c2a294285356,0.71,1,1,2,Сибирский федеральный университет (СФУ),630000.0,,F,4,Голубева Фёкла Валериевна,0,MASTER,24,3.1,2024-05-13
2024-09-07,social_media,Физика,,265000,f642085f-8797-412b-bef8-4aed98a5f3e3,0.66,0,1,2,Московский физико-технический институт (МФТИ),954000.0,,M,4,Егор Власович Титов,0,MASTER,21,3.8,2024-07-16
2024-07-27,social_media,Химия,2024-09-14,270000,410f857d-35a6-4e6e-a53a-f3dbe85c628c,0.52,1,1,2,Российский государственный университет нефти и газа имени И.М. Губкина,1296000.0,,M,6,Сигизмунд Егорович Лазарев,0,BACHELOR,18,4.0,2024-05-19
2024-06-20,social_media,Физика,,315000,eaa2e064-e80e-41ff-8d59-47103a10a7d,0.59,0,1,2,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),945000.0,,F,4,Майя Федоровна Аксенова,1,MASTER,22,4.0,2024-05-02
2024-07-08,bank,Физика,2024-07-10,225000,fe6ffcdc-6750-4f80-939d-9c5e396ffef,0.54,1,1,2,Российский государственный университет нефти и газа имени И.М. Губкина,900000.0,,M,8,Панфилов Арефий Изотович,1,BACHELOR,16,4.0,2024-05-14
2024-05-20,bank,Прикладная математика,2024-08-25,240000,24519700-6b31-4735-8eac-9cfe4932438,0.73,1,1,2,Казанский федеральный университет (КФУ),768000.0,,F,4,Галина Петровна Боброва,1,MASTER,22,3.4,2024-05-01
2024-08-04,social_media,Автоматизация и управление,2024-08-17,420000,87b8a94d-7abb-4532-9008-95f9f53320e,0.53,1,1,3,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),2520000.0,,F,8,Пономарева Людмила Тимофеевна,1,BACHELOR,19,3.4,2024-07-17
